Transaction_ID,Date,Region,Category,Units_Sold,Unit_Price,Revenue,Cost,Profit
TRX-10000,2025-04-13,North America,Smartphone,5,783.39,3916.97,2597.31,1319.66
TRX-10001,2026-03-12,Asia Pacific,Tablet,12,415.0,4979.95,3049.64,1930.31
TRX-10002,2025-09-28,Latin America,Monitor,13,308.15,4006.0,2630.35,1375.64
TRX-10003,2025-04-17,Latin America,Accessories,6,49.59,297.54,121.51,176.03
TRX-10004,2025-03-13,Latin America,Smartphone,11,819.87,9018.6,5387.95,3630.65
TRX-10005,2026-12-02,Europe,Tablet,13,418.45,5439.89,3222.42,2217.47
TRX-10006,2025-01-21,Europe,Monitor,6,298.77,1792.61,1235.91,556.7
TRX-10007,2026-09-07,Latin America,Monitor,10,292.15,2921.53,1961.28,960.25
TRX-10008,2025-05-02,North America,Laptop,4,1253.02,5012.07,3190.41,1821.67
TRX-10009,2026-04-12,Europe,Laptop,1,1212.45,1212.45,761.57,450.88
TRX-10010,2025-08-03,Latin America,Smartphone,5,768.42,3842.11,2558.39,1283.72
TRX-10011,2025-11-27,North America,Laptop,13,1208.72,15713.39,10314.41,5398.97
TRX-10012,2026-04-04,Latin America,Smartphone,1,800.05,800.05,501.27,298.78
TRX-10013,2025-03-29,Europe,Accessories,1,51.78,51.78,19.23,32.55
TRX-10014,2026-01-08,Asia Pacific,Smartphone,11,802.46,8827.01,5770.44,3056.57
TRX-10015,2025-04-10,Asia Pacific,Laptop,5,1170.63,5853.14,3920.99,1932.15
TRX-10016,2026-10-26,Europe,Accessories,5,50.88,254.39,101.35,153.04
TRX-10017,2025-05-11,North America,Laptop,7,1205.11,8435.76,5645.49,2790.27
TRX-10018,2026-10-24,Latin America,Smartphone,2,778.64,1557.29,1028.51,528.78
TRX-10019,2025-11-05,Europe,Tablet,6,402.95,2417.67,1469.08,948.6
TRX-10020,2025-12-10,North America,Monitor,2,309.65,619.29,410.24,209.06
TRX-10021,2026-05-07,Latin America,Laptop,13,1143.43,14864.57,10277.8,4586.77
TRX-10022,2026-02-18,Latin America,Smartphone,10,810.47,8104.68,4955.58,3149.1
TRX-10023,2026-01-21,Europe,Accessories,5,49.25,246.24,101.73,144.51
TRX-10024,2025-07-11,Latin America,Laptop,4,1175.12,4700.48,3290.97,1409.51
TRX-10025,2025-10-04,Asia Pacific,Laptop,11,1187.11,13058.22,8946.84,4111.37
TRX-10026,2025-06-10,Asia Pacific,Monitor,10,295.26,2952.61,2079.98,872.63
TRX-10027,2026-04-05,Latin America,Smartphone,5,826.58,4132.9,2446.29,1686.61
TRX-10028,2025-11-10,Europe,Tablet,2,390.99,781.98,520.03,261.95
TRX-10029,2025-01-22,Latin America,Accessories,8,51.17,409.33,154.09,255.23
TRX-10030,2025-09-10,Europe,Smartphone,8,767.52,6140.2,4063.81,2076.39
TRX-10031,2026-07-15,Europe,Accessories,6,52.26,313.54,120.57,192.97
TRX-10032,2026-04-20,Asia Pacific,Laptop,3,1214.68,3644.03,2398.71,1245.32
TRX-10033,2025-02-28,Asia Pacific,Monitor,4,306.2,1224.81,784.87,439.93
TRX-10034,2026-05-26,North America,Monitor,1,293.94,293.94,200.07,93.87
TRX-10035,2026-11-13,Europe,Tablet,9,396.48,3568.35,2173.9,1394.46
TRX-10036,2026-04-21,Latin America,Monitor,10,291.71,2917.13,1973.86,943.27
TRX-10037,2026-12-01,Europe,Laptop,5,1251.9,6259.52,3839.47,2420.05
TRX-10038,2025-07-09,Asia Pacific,Tablet,14,399.52,5593.34,3525.15,2068.19
TRX-10039,2026-11-18,Europe,Smartphone,8,810.44,6483.49,3838.31,2645.18
TRX-10040,2026-07-17,North America,Monitor,3,307.03,921.08,579.62,341.46
TRX-10041,2026-07-21,Latin America,Tablet,4,394.84,1579.38,958.55,620.83
TRX-10042,2025-09-01,Europe,Laptop,4,1226.41,4905.65,3162.02,1743.63
TRX-10043,2026-05-20,Latin America,Accessories,8,50.88,407.04,165.47,241.57
TRX-10044,2025-05-11,Latin America,Accessories,12,51.03,612.34,249.77,362.57
TRX-10045,2026-04-30,Asia Pacific,Laptop,9,1198.71,10788.37,6891.76,3896.61
TRX-10046,2026-10-09,Europe,Laptop,3,1185.95,3557.86,2432.29,1125.57
TRX-10047,2025-01-21,Latin America,Accessories,7,48.61,340.27,142.58,197.69
TRX-10048,2025-06-16,Asia Pacific,Tablet,9,412.99,3716.87,2257.6,1459.27
TRX-10049,2025-10-01,North America,Accessories,2,50.54,101.08,40.67,60.42
TRX-10050,2026-01-23,North America,Laptop,4,1193.32,4773.29,3114.78,1658.51
TRX-10051,2026-08-24,Europe,Monitor,3,313.32,939.96,599.38,340.58
TRX-10052,2025-11-12,Latin America,Smartphone,8,763.83,6110.62,3956.35,2154.27
TRX-10053,2025-01-14,Europe,Monitor,4,310.51,1242.02,767.18,474.84
TRX-10054,2025-08-30,Latin America,Monitor,9,314.93,2834.35,1822.6,1011.75
TRX-10055,2025-12-12,Asia Pacific,Laptop,1,1246.43,1246.43,799.62,446.82
TRX-10056,2026-07-19,North America,Accessories,1,51.55,51.55,19.55,32.0
TRX-10057,2025-12-06,North America,Tablet,4,394.97,1579.89,997.37,582.52
TRX-10058,2025-04-02,North America,Monitor,3,291.94,875.82,616.52,259.3
TRX-10059,2026-01-02,North America,Accessories,3,51.17,153.52,61.81,91.71
TRX-10060,2026-03-31,Europe,Tablet,10,392.18,3921.83,2537.38,1384.45
TRX-10061,2026-03-04,Latin America,Monitor,12,290.28,3483.37,2392.26,1091.11
TRX-10062,2026-05-24,Europe,Tablet,2,411.46,822.92,503.79,319.13
TRX-10063,2025-02-04,Asia Pacific,Accessories,14,49.06,686.88,276.78,410.1
TRX-10064,2025-07-25,North America,Smartphone,10,833.16,8331.55,4813.28,3518.28
TRX-10065,2025-03-22,Latin America,Accessories,10,51.7,517.03,197.71,319.32
TRX-10066,2026-07-16,Europe,Laptop,2,1241.72,2483.43,1604.85,878.58
TRX-10067,2026-01-23,Latin America,Tablet,8,410.86,3286.9,2019.77,1267.14
TRX-10068,2025-01-02,Europe,Smartphone,1,830.47,830.47,521.79,308.68
TRX-10069,2026-01-25,Latin America,Tablet,14,412.23,5771.22,3597.07,2174.15
TRX-10070,2026-07-20,Latin America,Tablet,8,404.1,3232.8,1930.4,1302.41
TRX-10071,2025-04-16,North America,Monitor,10,293.87,2938.75,1934.84,1003.91
TRX-10072,2026-04-22,Europe,Laptop,3,1246.59,3739.76,2304.12,1435.64
TRX-10073,2026-12-04,Asia Pacific,Tablet,2,413.62,827.25,511.91,315.34
TRX-10074,2026-02-06,Latin America,Accessories,9,49.86,448.78,183.71,265.07
TRX-10075,2026-12-31,Asia Pacific,Accessories,5,47.7,238.48,104.86,133.61
TRX-10076,2026-07-10,North America,Monitor,14,304.16,4258.19,2806.17,1452.02
TRX-10077,2025-06-11,Asia Pacific,Laptop,5,1146.07,5730.36,4130.57,1599.79
TRX-10078,2025-07-21,Latin America,Laptop,13,1251.15,16265.0,10479.5,5785.5
TRX-10079,2025-09-27,Latin America,Accessories,6,52.31,313.85,124.49,189.36
TRX-10080,2025-09-28,Latin America,Smartphone,4,775.16,3100.64,2044.2,1056.43
TRX-10081,2026-04-01,Europe,Monitor,7,305.29,2137.04,1420.0,717.04
TRX-10082,2026-04-07,Asia Pacific,Monitor,7,287.77,2014.38,1409.12,605.26
TRX-10083,2026-12-28,Europe,Accessories,11,51.15,562.62,224.91,337.72
TRX-10084,2025-09-09,Latin America,Accessories,9,49.24,443.13,178.55,264.57
TRX-10085,2026-12-03,Latin America,Smartphone,6,814.48,4886.9,2878.97,2007.93
TRX-10086,2025-10-23,North America,Smartphone,13,789.83,10267.79,6200.99,4066.8
TRX-10087,2026-12-26,North America,Laptop,1,1157.47,1157.47,798.32,359.15
TRX-10088,2026-12-21,Latin America,Monitor,9,297.18,2674.65,1817.87,856.78
TRX-10089,2025-12-04,Europe,Monitor,12,288.38,3460.56,2298.92,1161.64
TRX-10090,2025-02-22,Europe,Accessories,13,50.38,655.0,254.46,400.54
TRX-10091,2025-08-05,Latin America,Laptop,10,1144.91,11449.14,7857.63,3591.52
TRX-10092,2025-07-07,Asia Pacific,Monitor,9,300.82,2707.38,1811.3,896.07
TRX-10093,2026-01-15,Europe,Laptop,5,1246.36,6231.82,3911.39,2320.43
TRX-10094,2026-05-08,Latin America,Laptop,7,1240.54,8683.81,5373.56,3310.25
TRX-10095,2025-02-10,North America,Accessories,1,51.91,51.91,19.33,32.58
TRX-10096,2025-06-06,Latin America,Laptop,4,1250.65,5002.58,3095.66,1906.92
TRX-10097,2025-01-15,Europe,Smartphone,12,768.36,9220.35,6205.62,3014.73
TRX-10098,2025-03-06,Latin America,Smartphone,10,770.3,7703.0,4892.16,2810.84
TRX-10099,2026-06-05,Asia Pacific,Tablet,4,402.28,1609.12,1021.47,587.65
TRX-10100,2025-12-10,Asia Pacific,Accessories,5,51.97,259.85,100.68,159.17
TRX-10101,2025-05-09,Europe,Tablet,6,418.97,2513.84,1571.56,942.29
TRX-10102,2026-10-10,Latin America,Smartphone,4,763.7,3054.8,1954.56,1100.24
TRX-10103,2026-04-17,Asia Pacific,Tablet,6,394.23,2365.39,1448.76,916.63
TRX-10104,2025-03-04,Asia Pacific,Accessories,10,48.56,485.64,191.04,294.6
TRX-10105,2025-05-19,North America,Accessories,7,51.28,358.96,136.37,222.59
TRX-10106,2026-05-14,Europe,Laptop,3,1216.82,3650.47,2444.18,1206.29
TRX-10107,2026-08-16,North America,Monitor,9,288.6,2597.37,1725.35,872.02
TRX-10108,2026-01-27,North America,Laptop,8,1198.02,9584.18,6236.61,3347.57
TRX-10109,2026-11-06,Asia Pacific,Accessories,1,50.93,50.93,20.71,30.22
TRX-10110,2026-02-23,Latin America,Smartphone,13,822.32,10690.17,6553.92,4136.25
TRX-10111,2025-10-16,North America,Smartphone,2,761.6,1523.21,956.95,566.26
